Date,HomeTeam,AwayTeam,Matchweek
12/12/2026,Como,Roma,15
12/12/2026,Frosinone,Fiorentina,15
12/12/2026,Genoa,Monza,15
12/12/2026,Inter,Venezia,15
12/12/2026,Juventus,Lecce,15
12/12/2026,Lazio,Udinese,15
12/12/2026,Milan,Bologna,15
12/12/2026,Parma,Torino,15
12/12/2026,Sassuolo,Napoli,15
19/12/2026,Atalanta,Milan,16
19/12/2026,Fiorentina,Cagliari,16
19/12/2026,Lecce,Genoa,16
19/12/2026,Monza,Como,16
19/12/2026,Napoli,Lazio,16
19/12/2026,Roma,Bologna,16
19/12/2026,Sassuolo,Parma,16
19/12/2026,Torino,Juventus,16
19/12/2026,Udinese,Inter,16
19/12/2026,Venezia,Frosinone,16
26/12/2026,Atalanta,Fiorentina,17
26/12/2026,Bologna,Monza,17
26/12/2026,Cagliari,Venezia,17
26/12/2026,Como,Lecce,17
26/12/2026,Frosinone,Udinese,17
26/12/2026,Genoa,Torino,17
26/12/2026,Inter,Napoli,17
26/12/2026,Juventus,Sassuolo,17
26/12/2026,Lazio,Parma,17
26/12/2026,Milan,Roma,17
02/01/2027,Fiorentina,Milan,18
02/01/2027,Lazio,Juventus,18
02/01/2027,Lecce,Bologna,18
02/01/2027,Monza,Roma,18
02/01/2027,Napoli,Frosinone,18
02/01/2027,Parma,Inter,18
02/01/2027,Sassuolo,Genoa,18
02/01/2027,Torino,Como,18
02/01/2027,Udinese,Cagliari,18
02/01/2027,Venezia,Atalanta,18
09/01/2027,Atalanta,Udinese,19
09/01/2027,Bologna,Torino,19
09/01/2027,Cagliari,Napoli,19
09/01/2027,Como,Sassuolo,19
09/01/2027,Fiorentina,Venezia,19
09/01/2027,Frosinone,Parma,19
09/01/2027,Genoa,Lazio,19
09/01/2027,Inter,Juventus,19
09/01/2027,Milan,Monza,19
09/01/2027,Roma,Lecce,19
23/01/2027,Inter,Genoa,20
23/01/2027,Juventus,Frosinone,20
23/01/2027,Lazio,Como,20
23/01/2027,Lecce,Monza,20
23/01/2027,Napoli,Atalanta,20
23/01/2027,Parma,Cagliari,20
23/01/2027,Sassuolo,Bologna,20
23/01/2027,Torino,Roma,20
23/01/2027,Udinese,Fiorentina,20
23/01/2027,Venezia,Milan,20
30/01/2027,Atalanta,Parma,21
30/01/2027,Bologna,Lazio,21
30/01/2027,Cagliari,Juventus,21
30/01/2027,Como,Inter,21
30/01/2027,Fiorentina,Napoli,21
30/01/2027,Frosinone,Genoa,21
30/01/2027,Milan,Lecce,21
30/01/2027,Monza,Torino,21
30/01/2027,Roma,Sassuolo,21
30/01/2027,Venezia,Udinese,21
06/02/2027,Frosinone,Como,22
06/02/2027,Genoa,Cagliari,22
06/02/2027,Inter,Bologna,22
06/02/2027,Juventus,Atalanta,22
06/02/2027,Lazio,Roma,22
06/02/2027,Napoli,Venezia,22
06/02/2027,Parma,Fiorentina,22
06/02/2027,Sassuolo,Monza,22
06/02/2027,Torino,Lecce,22
06/02/2027,Udinese,Milan,22
13/02/2027,Atalanta,Genoa,23
13/02/2027,Bologna,Frosinone,23
13/02/2027,Cagliari,Como,23
13/02/2027,Fiorentina,Juventus,23
13/02/2027,Lecce,Sassuolo,23
13/02/2027,Milan,Torino,23
13/02/2027,Monza,Lazio,23
13/02/2027,Roma,Inter,23
13/02/2027,Udinese,Napoli,23
13/02/2027,Venezia,Parma,23
20/02/2027,Cagliari,Bologna,24
20/02/2027,Como,Atalanta,24
20/02/2027,Frosinone,Roma,24
20/02/2027,Genoa,Fiorentina,24
20/02/2027,Inter,Monza,24
20/02/2027,Juventus,Venezia,24
20/02/2027,Lazio,Lecce,24
20/02/2027,Napoli,Milan,24
20/02/2027,Parma,Udinese,24
20/02/2027,Sassuolo,Torino,24
27/02/2027,Atalanta,Bologna,25
27/02/2027,Fiorentina,Como,25
27/02/2027,Lecce,Inter,25
27/02/2027,Milan,Sassuolo,25
27/02/2027,Monza,Frosinone,25
27/02/2027,Napoli,Parma,25
27/02/2027,Roma,Cagliari,25
27/02/2027,Torino,Lazio,25
27/02/2027,Udinese,Juventus,25
27/02/2027,Venezia,Genoa,25
06/03/2027,Atalanta,Roma,26
06/03/2027,Bologna,Fiorentina,26
06/03/2027,Cagliari,Monza,26
06/03/2027,Como,Venezia,26
06/03/2027,Frosinone,Lecce,26
06/03/2027,Genoa,Udinese,26
06/03/2027,Inter,Torino,26
06/03/2027,Juventus,Napoli,26
06/03/2027,Lazio,Sassuolo,26
06/03/2027,Parma,Milan,26
13/03/2027,Fiorentina,Roma,27
13/03/2027,Lecce,Cagliari,27
13/03/2027,Milan,Lazio,27
13/03/2027,Monza,Atalanta,27
13/03/2027,Napoli,Genoa,27
13/03/2027,Parma,Juventus,27
13/03/2027,Sassuolo,Inter,27
13/03/2027,Torino,Frosinone,27
13/03/2027,Udinese,Como,27
13/03/2027,Venezia,Bologna,27
20/03/2027,Atalanta,Lecce,28
20/03/2027,Bologna,Udinese,28
20/03/2027,Cagliari,Torino,28
20/03/2027,Como,Napoli,28
20/03/2027,Fiorentina,Monza,28
20/03/2027,Frosinone,Sassuolo,28
20/03/2027,Genoa,Parma,28
20/03/2027,Inter,Lazio,28
20/03/2027,Juventus,Milan,28
20/03/2027,Roma,Venezia,28
27/03/2027,Juventus,Genoa,29
27/03/2027,Lazio,Frosinone,29
27/03/2027,Lecce,Fiorentina,29
27/03/2027,Milan,Inter,29
27/03/2027,Napoli,Bologna,29
27/03/2027,Parma,Como,29
27/03/2027,Sassuolo,Cagliari,29
27/03/2027,Torino,Atalanta,29
27/03/2027,Udinese,Roma,29
27/03/2027,Venezia,Monza,29
03/04/2027,Atalanta,Sassuolo,30
03/04/2027,Bologna,Parma,30
03/04/2027,Cagliari,Lazio,30
03/04/2027,Como,Juventus,30
03/04/2027,Fiorentina,Torino,30
03/04/2027,Frosinone,Inter,30
03/04/2027,Genoa,Milan,30
03/04/2027,Monza,Udinese,30
03/04/2027,Roma,Napoli,30
03/04/2027,Venezia,Lecce,30
10/04/2027,Genoa,Como,31
10/04/2027,Inter,Cagliari,31
10/04/2027,Juventus,Bologna,31
10/04/2027,Lazio,Atalanta,31
10/04/2027,Milan,Frosinone,31
10/04/2027,Napoli,Monza,31
10/04/2027,Parma,Roma,31
10/04/2027,Sassuolo,Fiorentina,31
10/04/2027,Torino,Venezia,31
10/04/2027,Udinese,Lecce,31
17/04/2027,Atalanta,Inter,32
17/04/2027,Bologna,Genoa,32
17/04/2027,Cagliari,Frosinone,32
17/04/2027,Como,Milan,32
17/04/2027,Fiorentina,Lazio,32
17/04/2027,Lecce,Napoli,32
17/04/2027,Monza,Parma,32
17/04/2027,Roma,Juventus,32
17/04/2027,Udinese,Torino,32
17/04/2027,Venezia,Sassuolo,32
24/04/2027,Como,Bologna,33
24/04/2027,Frosinone,Atalanta,33
24/04/2027,Genoa,Roma,33
24/04/2027,Inter,Fiorentina,33
24/04/2027,Juventus,Monza,33
24/04/2027,Lazio,Venezia,33
24/04/2027,Milan,Cagliari,33
24/04/2027,Napoli,Torino,33
24/04/2027,Parma,Lecce,33
24/04/2027,Sassuolo,Udinese,33
01/05/2027,Atalanta,Cagliari,34
01/05/2027,Bologna,Milan,34
01/05/2027,Fiorentina,Frosinone,34
01/05/2027,Lecce,Juventus,34
01/05/2027,Monza,Genoa,34
01/05/2027,Napoli,Sassuolo,34
01/05/2027,Roma,Como,34
01/05/2027,Torino,Parma,34
01/05/2027,Udinese,Lazio,34
01/05/2027,Venezia,Inter,34
08/05/2027,Bologna,Roma,35
08/05/2027,Cagliari,Fiorentina,35
08/05/2027,Como,Monza,35
08/05/2027,Frosinone,Venezia,35
08/05/2027,Genoa,Lecce,35
08/05/2027,Inter,Udinese,35
08/05/2027,Juventus,Torino,35
08/05/2027,Lazio,Napoli,35
08/05/2027,Milan,Atalanta,35
08/05/2027,Parma,Sassuolo,35
15/05/2027,Fiorentina,Atalanta,36
15/05/2027,Lecce,Como,36
15/05/2027,Monza,Bologna,36
15/05/2027,Napoli,Inter,36
15/05/2027,Parma,Lazio,36
15/05/2027,Roma,Milan,36
15/05/2027,Sassuolo,Juventus,36
15/05/2027,Torino,Genoa,36
15/05/2027,Udinese,Frosinone,36
15/05/2027,Venezia,Cagliari,36
22/05/2027,Atalanta,Venezia,37
22/05/2027,Bologna,Lecce,37
22/05/2027,Cagliari,Udinese,37
22/05/2027,Como,Torino,37
22/05/2027,Frosinone,Napoli,37
22/05/2027,Genoa,Sassuolo,37
22/05/2027,Inter,Parma,37
22/05/2027,Juventus,Lazio,37
22/05/2027,Milan,Fiorentina,37
22/05/2027,Roma,Monza,37
29/05/2027,Juventus,Inter,38
29/05/2027,Lazio,Genoa,38
29/05/2027,Lecce,Roma,38
29/05/2027,Monza,Milan,38
29/05/2027,Napoli,Cagliari,38
29/05/2027,Parma,Frosinone,38
29/05/2027,Sassuolo,Como,38
29/05/2027,Torino,Bologna,38
29/05/2027,Udinese,Atalanta,38
29/05/2027,Venezia,Fiorentina,38
